Player,Show,Role,Oneshot,Link
Brandon Routh,Lost Odyssey Heroes Game   ROLL W/ ADVANTAGE,Player,Yes,https://dnd.wizards.com/dndlive2020_schedule
,,,,
Kate Welch,D&D's Cast of Thrones Game,DM,Yes,https://dnd.wizards.com/dndlive2020_schedule
Kristian Nairn,D&D's Cast of Thrones Game,Player,Yes,https://dnd.wizards.com/dndlive2020_schedule
Daniel Portman,D&D's Cast of Thrones Game,Player,Yes,https://dnd.wizards.com/dndlive2020_schedule
Iwan Rheon,D&D's Cast of Thrones Game,Player,Yes,https://dnd.wizards.com/dndlive2020_schedule
Natalia Tena,D&D's Cast of Thrones Game,Player,Yes,https://dnd.wizards.com/dndlive2020_schedule
Gemma Whelan,D&D's Cast of Thrones Game,Player,Yes,https://dnd.wizards.com/dndlive2020_schedule
,,,,
Jeremy Crawford,D&D WWE Game,DM,Yes,https://dnd.wizards.com/dndlive2020_schedule
Alexa Bliss,D&D WWE Game,Player,Yes,https://dnd.wizards.com/dndlive2020_schedule
Tyler Breeze,D&D WWE Game,Player,Yes,https://dnd.wizards.com/dndlive2020_schedule
Dio Maddin,D&D WWE Game,Player,Yes,https://dnd.wizards.com/dndlive2020_schedule
Ember Moon,D&D WWE Game,Player,Yes,https://dnd.wizards.com/dndlive2020_schedule
Xavier Woods,D&D WWE Game,Player,Yes,https://dnd.wizards.com/dndlive2020_schedule
,,,,
Aram Vartian,Rivals of Waterdeep,DM,,https://www.youtube.com/watch?v=cvgcnOu7bQA&list=PLfS8QgUdeGYr7gUFsqYKdzo5hGLwBxRY5
Tanya DePass,Rivals of Waterdeep,Player,,https://www.youtube.com/watch?v=cvgcnOu7bQA&list=PLfS8QgUdeGYr7gUFsqYKdzo5hGLwBxRY6
Carlos Luna,Rivals of Waterdeep,Player,,https://www.youtube.com/watch?v=cvgcnOu7bQA&list=PLfS8QgUdeGYr7gUFsqYKdzo5hGLwBxRY6
Brandon Stennis,Rivals of Waterdeep,Player,,https://www.youtube.com/watch?v=cvgcnOu7bQA&list=PLfS8QgUdeGYr7gUFsqYKdzo5hGLwBxRY6
Surena Marie,Rivals of Waterdeep,Player,,https://www.youtube.com/watch?v=cvgcnOu7bQA&list=PLfS8QgUdeGYr7gUFsqYKdzo5hGLwBxRY6
Cicero Holmes,Rivals of Waterdeep,Player,,https://www.youtube.com/watch?v=cvgcnOu7bQA&list=PLfS8QgUdeGYr7gUFsqYKdzo5hGLwBxRY6
Shareef Jackson,Rivals of Waterdeep,DM,,https://www.youtube.com/watch?v=cvgcnOu7bQA&list=PLfS8QgUdeGYr7gUFsqYKdzo5hGLwBxRY6
LaTia Bryant,Rivals of Waterdeep,Player,,https://www.youtube.com/watch?v=cvgcnOu7bQA&list=PLfS8QgUdeGYr7gUFsqYKdzo5hGLwBxRY6
Masood Haque,Rivals of Waterdeep,Player,,https://www.youtube.com/watch?v=cvgcnOu7bQA&list=PLfS8QgUdeGYr7gUFsqYKdzo5hGLwBxRY6
,,,,
B. Dave Walters,Trial of the Champions,DM,Yes,https://www.youtube.com/watch?v=6Sb-Fk9uQ9g
Chris Perkins,Trial of the Champions,DM,Yes,https://www.youtube.com/watch?v=6Sb-Fk9uQ9g
Jeremy Crawford,Trial of the Champions,DM,Yes,https://www.youtube.com/watch?v=6Sb-Fk9uQ9g
Ember Moon,Trial of the Champions,DM,Yes,https://www.youtube.com/watch?v=6Sb-Fk9uQ9g
Jasmine Bhullar,Trial of the Champions,DM,Yes,https://www.youtube.com/watch?v=6Sb-Fk9uQ9g
,,,,
Mayleigh Damage,A Darkened Wish,Player,,https://www.youtube.com/playlist?list=PLfS8QgUdeGYrBsrU6ONeLxGXCcxgNPKHT
D'Artagnan Mattaliano,A Darkened Wish,Player,,https://www.youtube.com/playlist?list=PLfS8QgUdeGYrBsrU6ONeLxGXCcxgNPKHT
